area,bedrooms,bathrooms,age,garage,location_score,price
1200,2,1,15,1,6.5,185000
1500,3,2,10,1,7.2,245000
1800,3,2,8,2,8.1,310000
2200,4,3,5,2,8.8,395000
2500,4,3,3,2,9.2,455000
1100,2,1,20,1,5.8,165000
1350,3,2,12,1,6.8,220000
1600,3,2,9,1,7.5,270000
2000,4,2,7,2,8.3,350000
2800,5,3,2,3,9.5,520000
1000,2,1,25,0,5.2,145000
1250,2,1,18,1,6.1,180000
1450,3,2,14,1,6.9,225000
1750,3,2,11,2,7.8,295000
2100,4,3,6,2,8.6,375000
2300,4,3,4,2,9.0,420000
2700,5,3,3,3,9.4,500000
1150,2,1,22,1,5.6,158000
1550,3,2,13,1,7.1,250000
1900,4,2,8,2,8.0,325000
