sepal_length,sepal_width,petal_length,petal_width,record_id,species
5.1,3.5,1.4,0.2,1001,setosa
4.9,3.0,1.4,0.2,1002,setosa
4.7,3.2,1.3,0.2,1003,setosa
4.6,3.1,1.5,0.2,1004,setosa
5.0,3.6,1.4,0.2,1005,setosa
5.4,3.9,1.7,0.4,1006,setosa
4.6,3.4,1.4,0.3,1007,setosa
5.0,3.4,1.5,0.2,1008,setosa
5.4,3.7,1.5,0.2,1009,setosa
4.4,2.9,1.4,0.2,1010,setosa
6.0,2.9,4.5,1.5,2001,versicolor
5.7,2.8,4.1,1.3,2002,versicolor
5.5,2.3,4.0,1.3,2003,versicolor
6.5,2.8,4.6,1.5,2004,versicolor
5.7,2.8,4.5,1.3,2005,versicolor
6.3,3.3,4.7,1.6,2006,versicolor
4.9,2.4,3.3,1.0,2007,versicolor
6.6,2.9,4.6,1.3,2008,versicolor
5.2,2.7,3.9,1.4,2009,versicolor
5.0,2.0,3.5,1.0,2010,versicolor
6.3,3.3,6.0,2.5,3001,virginica
5.8,2.7,5.1,1.9,3002,virginica
7.1,3.0,5.9,2.1,3003,virginica
6.3,2.9,5.6,1.8,3004,virginica
6.5,3.0,5.8,2.2,3005,virginica
7.6,3.0,6.6,2.1,3006,virginica
4.9,2.5,4.5,1.7,3007,virginica
7.3,2.9,6.3,1.8,3008,virginica
6.7,2.5,5.8,1.8,3009,virginica
7.2,3.6,6.1,2.5,3010,virginica
